144	13.08	3.9	2.36	21.5	113	1.41	1.39	.34	1.14	9.40	.57	1.33	550	0	0	1
145	13.28	1.64	2.84	15.5	110	2.6	2.68	.34	1.36	4.6	1.09	2.78	880	1	0	0
146	13.63	1.81	2.7	17.2	112	2.85	2.91	.3	1.46	7.3	1.28	2.88	1310	1	0	0
147	12.33	1.1	2.28	16	101	2.05	1.09	.63	.41	3.27	1.25	1.67	680	0	1	0
148	14.75	1.73	2.39	11.4	91	3.1	3.69	.43	2.81	5.4	1.25	2.73	1150	1	0	0
149	12.25	3.88	2.2	18.5	112	1.38	.78	.29	1.14	8.21	.65	2	855	0	0	1
150	12.17	1.45	2.53	19	104	1.89	1.75	.45	1.03	2.95	1.45	2.23	355	0	1	0
151	12.51	1.73	1.98	20.5	85	2.2	1.92	.32	1.48	2.94	1.04	3.57	672	0	1	0
152	12.42	2.55	2.27	22	90	1.68	1.84	.66	1.42	2.7	.86	3.3	315	0	1	0
153	13.64	3.1	2.56	15.2	116	2.7	3.03	.17	1.66	5.1	.96	3.36	845	1	0	0
154	13.52	3.17	2.72	23.5	97	1.55	.52	.5	.55	4.35	.89	2.06	520	0	0	1
155	13.88	1.89	2.59	15	101	3.25	3.56	.17	1.7	5.43	.88	3.56	1095	1	0	0
156	13.05	2.05	3.22	25	124	2.63	2.68	.47	1.92	3.58	1.13	3.2	830	1	0	0
157	13.16	2.36	2.67	18.6	101	2.8	3.24	.3	2.81	5.68	1.03	3.17	1185	1	0	0
158	11.03	1.51	2.2	21.5	85	2.46	2.17	.52	2.01	1.9	1.71	2.87	407	0	1	0
159	12.51	1.24	2.25	17.5	85	2	.58	.6	1.25	5.45	.75	1.51	650	0	0	1
160	12.99	1.67	2.6	30	139	3.3	2.89	.21	1.96	3.35	1.31	3.5	985	0	1	0
161	14.34	1.68	2.7	25	98	2.8	1.31	.53	2.7	13	.57	1.96	660	0	0	1
162	13.58	2.58	2.69	24.5	105	1.55	.84	.39	1.54	8.66	.74	1.8	750	0	0	1
163	13.77	1.9	2.68	17.1	115	3	2.79	.39	1.68	6.3	1.13	2.93	1375	1	0	0
164	12.37	1.63	2.3	24.5	88	2.22	2.45	.4	1.9	2.12	.89	2.78	342	0	1	0
165	13.23	3.3	2.28	18.5	98	1.8	.83	.61	1.87	10.52	.56	1.51	675	0	0	1
166	13.05	1.77	2.1	17	107	3	3	.28	2.03	5.04	.88	3.35	885	1	0	0
167	13.73	1.5	2.7	22.5	101	3	3.25	.29	2.38	5.7	1.19	2.71	1285	1	0	0
168	13.82	1.75	2.42	14	111	3.88	3.74	.32	1.87	7.05	1.01	3.26	1190	1	0	0
169	12.64	1.36	2.02	16.8	100	2.02	1.41	.53	.62	5.75	.98	1.59	450	0	1	0
170	12.53	5.51	2.64	25	96	1.79	.6	.63	1.1	5	.82	1.69	515	0	0	1
171	12.93	2.81	2.7	21	96	1.54	.5	.53	.75	4.6	.77	2.31	600	0	0	1
172	11.79	2.13	2.78	28.5	92	2.13	2.24	.58	1.76	3	.97	2.44	466	0	1	0
173	13.71	5.65	2.45	20.5	95	1.68	.61	.52	1.06	7.7	.64	1.74	740	0	0	1
174	12.6	1.34	1.9	18.5	88	1.45	1.36	.29	1.35	2.45	1.04	2.77	562	0	1	0
175	14.16	2.51	2.48	20	91	1.68	.7	.44	1.24	9.7	.62	1.71	660	0	0	1
176	13.4	3.91	2.48	23	102	1.8	.75	.43	1.41	7.3	.7	1.56	750	0	0	1
177	11.45	2.4	2.42	20	96	2.9	2.79	.32	1.83	3.25	.8	3.39	625	0	1	0
178	12.88	2.99	2.4	20	104	1.3	1.22	.24	.83	5.4	.74	1.42	530	0	0	1
