1	5.0	2.0	3.5	1.0	0	1	0
2	5.8	2.7	4.1	1.0	0	1	0
3	4.4	3.2	1.3	0.2	1	0	0
4	6.3	2.5	5.0	1.9	0	0	1
5	6.4	3.1	5.5	1.8	0	0	1
6	6.5	3.2	5.1	2.0	0	0	1
7	7.7	2.6	6.9	2.3	0	0	1
8	6.7	3.1	4.7	1.5	0	1	0
9	6.5	3.0	5.5	1.8	0	0	1
10	5.6	3.0	4.5	1.5	0	1	0
11	5.5	2.4	3.7	1.0	0	1	0
12	5.8	2.7	5.1	1.9	0	0	1
13	6.1	3.0	4.6	1.4	0	1	0
14	5.4	3.9	1.3	0.4	1	0	0
15	6.5	3.0	5.8	2.2	0	0	1
16	5.6	3.0	4.1	1.3	0	1	0
17	5.0	3.3	1.4	0.2	1	0	0
18	6.7	3.0	5.2	2.3	0	0	1
19	5.1	2.5	3.0	1.1	0	1	0
20	5.6	2.9	3.6	1.3	0	1	0
21	7.7	2.8	6.7	2.0	0	0	1
22	5.7	2.9	4.2	1.3	0	1	0
23	6.8	2.8	4.8	1.4	0	1	0
24	5.5	3.5	1.3	0.2	1	0	0
25	6.4	3.2	5.3	2.3	0	0	1
26	5.0	3.6	1.4	0.2	1	0	0
27	5.1	3.5	1.4	0.3	1	0	0
28	5.0	3.0	1.6	0.2	1	0	0
29	5.6	2.5	3.9	1.1	0	1	0
30	6.4	3.2	4.5	1.5	0	1	0
31	4.7	3.2	1.3	0.2	1	0	0
32	6.9	3.1	4.9	1.5	0	1	0
33	5.8	4.0	1.2	0.2	1	0	0
34	6.0	3.0	4.8	1.8	0	0	1
35	4.5	2.3	1.3	0.3	1	0	0
36	5.9	3.0	5.1	1.8	0	0	1
37	6.4	2.9	4.3	1.3	0	1	0
38	5.8	2.7	3.9	1.2	0	1	0
39	7.7	3.0	6.1	2.3	0	0	1
40	6.0	2.9	4.5	1.5	0	1	0
41	5.4	3.4	1.5	0.4	1	0	0
42	7.1	3.0	5.9	2.1	0	0	1
43	5.1	3.7	1.5	0.4	1	0	0
44	4.9	3.1	1.5	0.1	1	0	0
45	4.9	3.1	1.5	0.1	1	0	0
46	6.8	3.2	5.9	2.3	0	0	1
47	6.4	2.7	5.3	1.9	0	0	1
48	4.6	3.2	1.4	0.2	1	0	0
49	6.7	3.3	5.7	2.1	0	0	1
50	5.6	2.7	4.2	1.3	0	1	0
51	4.9	2.5	4.5	1.7	0	0	1
52	6.9	3.2	5.7	2.3	0	0	1
53	6.3	3.3	6.0	2.5	0	0	1
54	6.8	3.0	5.5	2.1	0	0	1
